datetime,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume,open,high,low,close
2025-01-01 00:30:00,2025-01-01T00:30:00,2025-01-01T00:30:00,"{'bid': 586.57, 'ask': 586.75}","{'bid': 586.21, 'ask': 586.9}","{'bid': 586.57, 'ask': 586.9}","{'bid': 586.21, 'ask': 586.7}",14,586.57,586.57,586.21,586.21
2025-01-01 00:45:00,2025-01-01T00:45:00,2025-01-01T00:45:00,"{'bid': 586.45, 'ask': 586.75}","{'bid': 586.46, 'ask': 586.73}","{'bid': 586.51, 'ask': 586.75}","{'bid': 586.45, 'ask': 586.58}",15,586.45,586.51,586.45,586.46
2025-01-02 09:00:00,2025-01-02T09:00:00,2025-01-02T09:00:00,"{'bid': 588.93, 'ask': 589.15}","{'bid': 589.61, 'ask': 589.82}","{'bid': 589.67, 'ask': 590.15}","{'bid': 588.45, 'ask': 588.88}",1105,588.93,589.67,588.45,589.61
2025-01-02 09:15:00,2025-01-02T09:15:00,2025-01-02T09:15:00,"{'bid': 589.61, 'ask': 589.81}","{'bid': 589.56, 'ask': 589.74}","{'bid': 589.76, 'ask': 590.25}","{'bid': 589.25, 'ask': 589.51}",524,589.61,589.76,589.25,589.56
2025-01-02 09:30:00,2025-01-02T09:30:00,2025-01-02T09:30:00,"{'bid': 589.57, 'ask': 589.74}","{'bid': 589.47, 'ask': 589.68}","{'bid': 589.67, 'ask': 589.85}","{'bid': 588.65, 'ask': 589.02}",663,589.57,589.67,588.65,589.47
2025-01-02 09:45:00,2025-01-02T09:45:00,2025-01-02T09:45:00,"{'bid': 589.46, 'ask': 589.68}","{'bid': 589.75, 'ask': 589.95}","{'bid': 589.76, 'ask': 590.0}","{'bid': 589.06, 'ask': 589.45}",418,589.46,589.76,589.06,589.75
2025-01-02 10:00:00,2025-01-02T10:00:00,2025-01-02T10:00:00,"{'bid': 589.78, 'ask': 589.97}","{'bid': 589.12, 'ask': 589.34}","{'bid': 589.91, 'ask': 590.25}","{'bid': 588.8, 'ask': 589.14}",555,589.78,589.91,588.8,589.12
2025-01-02 10:15:00,2025-01-02T10:15:00,2025-01-02T10:15:00,"{'bid': 589.13, 'ask': 589.34}","{'bid': 589.52, 'ask': 589.73}","{'bid': 589.64, 'ask': 590.05}","{'bid': 589.06, 'ask': 589.3}",390,589.13,589.64,589.06,589.52
2025-01-02 10:30:00,2025-01-02T10:30:00,2025-01-02T10:30:00,"{'bid': 589.51, 'ask': 589.73}","{'bid': 589.83, 'ask': 590.03}","{'bid': 589.87, 'ask': 590.45}","{'bid': 589.43, 'ask': 589.66}",294,589.51,589.87,589.43,589.83
2025-01-02 10:45:00,2025-01-02T10:45:00,2025-01-02T10:45:00,"{'bid': 589.82, 'ask': 590.03}","{'bid': 589.77, 'ask': 590.01}","{'bid': 589.9, 'ask': 590.44}","{'bid': 589.06, 'ask': 589.3}",415,589.82,589.9,589.06,589.77
2025-01-02 11:00:00,2025-01-02T11:00:00,2025-01-02T11:00:00,"{'bid': 589.78, 'ask': 590.01}","{'bid': 589.77, 'ask': 589.99}","{'bid': 589.93, 'ask': 590.45}","{'bid': 589.28, 'ask': 589.45}",441,589.78,589.93,589.28,589.77
2025-01-02 11:15:00,2025-01-02T11:15:00,2025-01-02T11:15:00,"{'bid': 589.78, 'ask': 589.98}","{'bid': 589.82, 'ask': 589.99}","{'bid': 589.96, 'ask': 590.25}","{'bid': 589.35, 'ask': 589.86}",368,589.78,589.96,589.35,589.82
2025-01-02 11:30:00,2025-01-02T11:30:00,2025-01-02T11:30:00,"{'bid': 589.76, 'ask': 589.99}","{'bid': 590.34, 'ask': 590.57}","{'bid': 590.35, 'ask': 590.85}","{'bid': 589.35, 'ask': 589.67}",486,589.76,590.35,589.35,590.34
2025-01-02 11:45:00,2025-01-02T11:45:00,2025-01-02T11:45:00,"{'bid': 590.33, 'ask': 590.57}","{'bid': 591.51, 'ask': 591.69}","{'bid': 591.53, 'ask': 591.85}","{'bid': 590.31, 'ask': 590.53}",655,590.33,591.53,590.31,591.51
2025-01-02 12:00:00,2025-01-02T12:00:00,2025-01-02T12:00:00,"{'bid': 591.52, 'ask': 591.69}","{'bid': 591.87, 'ask': 592.0}","{'bid': 591.92, 'ask': 592.05}","{'bid': 591.15, 'ask': 591.49}",1207,591.52,591.92,591.15,591.87
2025-01-02 12:15:00,2025-01-02T12:15:00,2025-01-02T12:15:00,"{'bid': 591.88, 'ask': 592.0}","{'bid': 591.87, 'ask': 592.05}","{'bid': 592.0, 'ask': 592.45}","{'bid': 591.55, 'ask': 591.91}",719,591.88,592.0,591.55,591.87
2025-01-02 12:30:00,2025-01-02T12:30:00,2025-01-02T12:30:00,"{'bid': 591.87, 'ask': 592.07}","{'bid': 591.09, 'ask': 591.26}","{'bid': 591.95, 'ask': 592.45}","{'bid': 590.75, 'ask': 591.12}",702,591.87,591.95,590.75,591.09
2025-01-02 12:45:00,2025-01-02T12:45:00,2025-01-02T12:45:00,"{'bid': 591.1, 'ask': 591.26}","{'bid': 590.9, 'ask': 591.09}","{'bid': 591.13, 'ask': 591.45}","{'bid': 590.09, 'ask': 590.31}",1106,591.1,591.13,590.09,590.9
2025-01-02 13:00:00,2025-01-02T13:00:00,2025-01-02T13:00:00,"{'bid': 590.87, 'ask': 591.07}","{'bid': 590.64, 'ask': 590.78}","{'bid': 591.06, 'ask': 591.45}","{'bid': 590.6, 'ask': 590.78}",1134,590.87,591.06,590.6,590.64
2025-01-02 13:15:00,2025-01-02T13:15:00,2025-01-02T13:15:00,"{'bid': 590.64, 'ask': 590.8}","{'bid': 586.01, 'ask': 591.75}","{'bid': 590.75, 'ask': 591.75}","{'bid': 586.01, 'ask': 590.35}",1466,590.64,590.75,586.01,586.01
2025-01-02 13:30:00,2025-01-02T13:30:00,2025-01-02T13:30:00,"{'bid': 590.43, 'ask': 591.75}","{'bid': 591.17, 'ask': 591.35}","{'bid': 591.31, 'ask': 591.75}","{'bid': 589.15, 'ask': 590.24}",1527,590.43,591.31,589.15,591.17
2025-01-02 13:45:00,2025-01-02T13:45:00,2025-01-02T13:45:00,"{'bid': 591.15, 'ask': 591.32}","{'bid': 590.33, 'ask': 590.49}","{'bid': 591.16, 'ask': 591.45}","{'bid': 590.15, 'ask': 590.34}",1686,591.15,591.16,590.15,590.33
2025-01-02 14:00:00,2025-01-02T14:00:00,2025-01-02T14:00:00,"{'bid': 590.33, 'ask': 590.48}","{'bid': 589.73, 'ask': 589.87}","{'bid': 590.38, 'ask': 590.85}","{'bid': 588.89, 'ask': 589.05}",2851,590.33,590.38,588.89,589.73
2025-01-02 14:15:00,2025-01-02T14:15:00,2025-01-02T14:15:00,"{'bid': 589.66, 'ask': 589.84}","{'bid': 589.33, 'ask': 589.5}","{'bid': 590.12, 'ask': 590.45}","{'bid': 589.15, 'ask': 589.35}",2186,589.66,590.12,589.15,589.33
